采集时间,行业代码,行业名称,PE(TTM)
2026-06-09 21:49:01,BK1297,图片媒体,57.03
2026-06-09 21:49:01,BK1462,玻纤制造,78.46
2026-06-09 21:49:01,BK1325,半导体材料,695.6
2026-06-09 21:49:01,BK1326,半导体设备,111.4
2026-06-09 21:49:01,BK1332,电子化学品Ⅲ,126.34
2026-06-09 21:49:01,BK1039,电子化学品Ⅱ,126.34
2026-06-09 21:49:01,BK1621,锂,51.26
2026-06-09 21:49:01,BK1327,分立器件,-113.53
2026-06-09 21:49:01,BK1036,半导体,180.83
2026-06-09 21:49:01,BK1330,模拟芯片设计,903.51
2026-06-09 21:49:01,BK1443,橡胶助剂,51.9
2026-06-09 21:49:01,BK1015,能源金属,30.96
2026-06-09 21:49:01,BK1340,印制电路板,93.19
2026-06-09 21:49:01,BK0459,元件,91.81
2026-06-09 21:49:01,BK1328,集成电路封测,95.5
2026-06-09 21:49:01,BK1339,被动元件,86.27
2026-06-09 21:49:01,BK1439,膜材料,213.26
2026-06-09 21:49:01,BK1431,有机硅,-55.02
2026-06-09 21:49:01,BK1295,其他数字媒体,-90.96
2026-06-09 21:49:01,BK1329,集成电路制造,226.09
2026-06-09 21:49:01,BK1336,其他电子Ⅲ,66.66
2026-06-09 21:49:01,BK1223,其他电子Ⅱ,66.66
2026-06-09 21:49:01,BK0546,玻璃玻纤,110.39
2026-06-09 21:49:01,BK1201,电子,102.76
2026-06-09 21:49:01,BK1618,磁性材料,68.16
2026-06-09 21:49:01,BK1322,其他电源设备Ⅲ,127.71
2026-06-09 21:49:01,BK1626,稀土,72.34
2026-06-09 21:49:01,BK1591,通信网络设备及器件,103.55
2026-06-09 21:49:01,BK1592,通信线缆及配套,145.87
2026-06-09 21:49:01,BK1331,数字芯片设计,127.62
2026-06-09 21:49:01,BK1625,钨,51.78
2026-06-09 21:49:01,BK1415,其他化学纤维,75.05
2026-06-09 21:49:01,BK1034,其他电源设备Ⅱ,76.58
2026-06-09 21:49:01,BK1317,光伏加工设备,56.37
2026-06-09 21:49:01,BK0454,塑料,89.0
2026-06-09 21:49:01,BK1475,国际工程,15.19
2026-06-09 21:49:01,BK1547,跨境电商,42.78
2026-06-09 21:49:01,BK1409,激光设备,144.45
2026-06-09 21:49:01,BK1437,改性塑料,55.57
2026-06-09 21:49:01,BK1440,其他塑料制品,68.6
2026-06-09 21:49:01,BK1430,涂料油墨,110.69
2026-06-09 21:49:01,BK1306,蓄电池及其他电池,-4637.36
2026-06-09 21:49:01,BK0448,通信设备,106.92
2026-06-09 21:49:01,BK1425,胶黏剂及胶带,54.26
2026-06-09 21:49:01,BK1302,电池化学品,51.78
2026-06-09 21:49:01,BK1334,光学元件,267.1
2026-06-09 21:49:01,BK1303,锂电池,28.15
2026-06-09 21:49:01,BK1555,专业连锁Ⅲ,103.75
2026-06-09 21:49:01,BK1270,专业连锁Ⅱ,103.75
2026-06-09 21:49:01,BK1318,光伏主材,-9.65
2026-06-09 21:49:01,BK1033,电池,34.72
2026-06-09 21:49:01,BK1397,磨具磨料,-16596.35
2026-06-09 21:49:01,BK1545,特种纸,37.52
2026-06-09 21:49:01,BK1305,燃料电池,-7.95
2026-06-09 21:49:01,BK1288,金属新材料,91.2
2026-06-09 21:49:01,BK1215,通信,37.07
2026-06-09 21:49:01,BK1620,钴,17.61
2026-06-09 21:49:01,BK1602,诊断服务,-57.23
2026-06-09 21:49:01,BK1428,其他化学制品,102.6
2026-06-09 21:49:01,BK1400,制冷空调设备,58.19
2026-06-09 21:49:01,BK1319,硅料硅片,-8.1
2026-06-09 21:49:01,BK1615,铜,15.56
2026-06-09 21:49:01,BK1395,机床工具,81.95
2026-06-09 21:49:01,BK1027,小金属,54.08
2026-06-09 21:49:01,BK1338,消费电子零部件及组装,45.23
2026-06-09 21:49:01,BK1414,锦纶,149258.53
2026-06-09 21:49:01,BK1616,白银,28.9
2026-06-09 21:49:01,BK1335,面板,150.56
2026-06-09 21:49:01,BK1622,镍,12.34
2026-06-09 21:49:01,BK1589,通信应用增值服务,70.89
2026-06-09 21:49:01,BK1316,光伏辅材,-153.94
2026-06-09 21:49:01,BK1038,光学光电子,294.65
2026-06-09 21:49:01,BK1031,光伏设备,-49.23
2026-06-09 21:49:01,BK1360,金融信息服务,33.6
2026-06-09 21:49:01,BK1593,通信终端及配件,76.39
2026-06-09 21:49:01,BK0478,有色金属,21.68
2026-06-09 21:49:01,BK1484,公交,113.45
2026-06-09 21:49:01,BK1377,火力发电,16.15
2026-06-09 21:49:01,BK1448,横向通用软件,261.73
2026-06-09 21:49:01,BK1018,橡胶,110.04
2026-06-09 21:49:01,BK1037,消费电子,44.24
2026-06-09 21:49:01,BK1304,锂电专用设备,134.19
2026-06-09 21:49:01,BK1442,炭黑,88.96
2026-06-09 21:49:01,BK1463,水泥制品,-31.06
2026-06-09 21:49:01,BK1320,逆变器,34.47
2026-06-09 21:49:01,BK0538,化学制品,37.96
2026-06-09 21:49:01,BK1386,军工电子Ⅲ,195.6
2026-06-09 21:49:01,BK1233,军工电子Ⅱ,195.6
2026-06-09 21:49:01,BK1421,钛白粉,135.77
2026-06-09 21:49:01,BK1268,互联网电商,47.08
2026-06-09 21:49:01,BK1221,数字媒体,-276.82
2026-06-09 21:49:01,BK1517,食用菌,14.6
2026-06-09 21:49:01,BK1590,其他通信设备,108.27
2026-06-09 21:49:01,BK1206,基础化工,38.2
2026-06-09 21:49:01,BK1509,水产饲料,22.66
2026-06-09 21:49:01,BK1581,预加工食品,24.48
2026-06-09 21:49:01,BK1624,其他小金属,62.09
2026-06-09 21:49:01,BK1420,其他化学原料,37.51
2026-06-09 21:49:01,BK1321,火电设备,58.34
2026-06-09 21:49:01,BK1565,会展服务,30.55
